epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate
1,0.507090,0.679725,0.301579,0.761741,-0.205511,-0.082016,0.00120000
2,0.384713,0.728696,0.273658,0.776441,-0.111055,-0.047744,0.00210000
3,0.350893,0.742498,0.275932,0.776228,-0.074961,-0.033730,0.00300000
4,0.325212,0.755588,0.244578,0.795242,-0.080634,-0.039653,0.00299976
5,0.301325,0.768017,0.231714,0.800707,-0.069611,-0.032690,0.00299904
6,0.287596,0.775133,0.214946,0.813530,-0.072649,-0.038397,0.00299783
7,0.280521,0.778844,0.209388,0.816803,-0.071133,-0.037959,0.00299615
8,0.265018,0.787280,0.200621,0.821733,-0.064397,-0.034452,0.00299398
9,0.259169,0.791688,0.191700,0.828667,-0.067469,-0.036979,0.00299134
10,0.247188,0.798215,0.186871,0.825027,-0.060318,-0.026812,0.00298821
11,0.239023,0.803201,0.186166,0.827419,-0.052857,-0.024217,0.00298461
12,0.230110,0.807967,0.176967,0.841264,-0.053143,-0.033297,0.00298053
13,0.223223,0.811616,0.169470,0.838937,-0.053753,-0.027322,0.00297598
14,0.218962,0.815379,0.167633,0.835641,-0.051329,-0.020262,0.00297096
15,0.209895,0.820606,0.162089,0.846434,-0.047806,-0.025829,0.00296546
16,0.204777,0.822816,0.157668,0.846480,-0.047110,-0.023664,0.00295950
17,0.198708,0.827209,0.155028,0.850967,-0.043679,-0.023758,0.00295307
18,0.192615,0.829938,0.152632,0.847384,-0.039983,-0.017446,0.00294618
19,0.189950,0.831731,0.144015,0.858675,-0.045935,-0.026945,0.00293882
20,0.185128,0.834986,0.146533,0.848513,-0.038595,-0.013527,0.00293101
21,0.180884,0.837883,0.147248,0.848495,-0.033636,-0.010612,0.00292274
22,0.177569,0.839848,0.134277,0.866647,-0.043292,-0.026799,0.00291402
23,0.173236,0.841470,0.137148,0.862894,-0.036087,-0.021424,0.00290485
24,0.167216,0.846279,0.130286,0.872778,-0.036930,-0.026499,0.00289523
25,0.167929,0.846770,0.124607,0.875004,-0.043322,-0.028235,0.00288518
26,0.163941,0.848902,0.126897,0.865141,-0.037044,-0.016239,0.00287469
27,0.162340,0.851398,0.120209,0.882992,-0.042131,-0.031593,0.00286376
28,0.158659,0.853033,0.135768,0.863418,-0.022890,-0.010385,0.00285240
29,0.156386,0.854538,0.114575,0.880505,-0.041811,-0.025967,0.00284062
30,0.156039,0.855538,0.123314,0.875742,-0.032726,-0.020204,0.00282842
31,0.153466,0.857192,0.119085,0.869814,-0.034381,-0.012622,0.00281580
32,0.147718,0.860634,0.122655,0.868901,-0.025063,-0.008266,0.00280277
33,0.146211,0.861616,0.116852,0.878685,-0.029359,-0.017069,0.00278934
34,0.146663,0.861822,0.117173,0.880616,-0.029489,-0.018794,0.00277550
35,0.144161,0.863729,0.128332,0.872564,-0.015829,-0.008835,0.00276127
36,0.141397,0.865400,0.119535,0.875186,-0.021862,-0.009787,0.00274665
