epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate
1,0.504986,0.681013,0.314297,0.763885,-0.190689,-0.082872,0.00120000
2,0.375681,0.734198,0.279433,0.780587,-0.096248,-0.046390,0.00210000
3,0.344826,0.747093,0.262379,0.775980,-0.082448,-0.028886,0.00300000
4,0.310198,0.764483,0.234779,0.799318,-0.075419,-0.034835,0.00299976
5,0.293920,0.773389,0.217588,0.813187,-0.076331,-0.039798,0.00299904
6,0.276066,0.782004,0.218073,0.806030,-0.057994,-0.024027,0.00299783
7,0.267483,0.785607,0.199407,0.823541,-0.068076,-0.037934,0.00299615
8,0.252937,0.793755,0.193772,0.825985,-0.059166,-0.032230,0.00299398
9,0.242416,0.799597,0.197054,0.819918,-0.045362,-0.020321,0.00299134
10,0.233228,0.805192,0.170538,0.843033,-0.062689,-0.037841,0.00298821
11,0.225637,0.808624,0.176905,0.829672,-0.048732,-0.021048,0.00298461
12,0.221830,0.812045,0.174023,0.838743,-0.047807,-0.026698,0.00298053
13,0.209765,0.819476,0.163963,0.833312,-0.045803,-0.013836,0.00297598
14,0.205324,0.821323,0.170387,0.834007,-0.034936,-0.012684,0.00297096
15,0.198254,0.825786,0.154412,0.844172,-0.043842,-0.018386,0.00296546
16,0.191779,0.830049,0.154201,0.844239,-0.037578,-0.014190,0.00295950
17,0.186078,0.833140,0.137233,0.859964,-0.048844,-0.026825,0.00295307
18,0.183509,0.835354,0.137523,0.867785,-0.045986,-0.032431,0.00294618
19,0.179687,0.837251,0.133469,0.862904,-0.046218,-0.025653,0.00293882
20,0.174619,0.841160,0.134520,0.869440,-0.040099,-0.028280,0.00293101
21,0.173928,0.841799,0.134110,0.870964,-0.039818,-0.029165,0.00292274
22,0.167415,0.845678,0.124854,0.872927,-0.042561,-0.027250,0.00291402
23,0.164230,0.848067,0.132844,0.868341,-0.031386,-0.020275,0.00290485
24,0.161488,0.850528,0.128153,0.872213,-0.033335,-0.021685,0.00289523
25,0.161817,0.850257,0.124406,0.870513,-0.037410,-0.020256,0.00288518
26,0.156020,0.853915,0.122361,0.875575,-0.033658,-0.021660,0.00287469
27,0.151478,0.857157,0.144946,0.855923,-0.006532,0.001234,0.00286376
28,0.149135,0.858249,0.119446,0.872793,-0.029689,-0.014544,0.00285240
29,0.148702,0.860162,0.114524,0.880670,-0.034178,-0.020508,0.00284062
30,0.147923,0.860461,0.123353,0.870700,-0.024570,-0.010239,0.00282842
31,0.142405,0.864798,0.123178,0.876144,-0.019226,-0.011345,0.00281580
32,0.143750,0.863724,0.113500,0.878823,-0.030250,-0.015099,0.00280277
33,0.141309,0.864111,0.119943,0.878634,-0.021366,-0.014523,0.00278934
34,0.140642,0.865227,0.117023,0.879475,-0.023619,-0.014248,0.00277550
35,0.137923,0.867988,0.111449,0.884337,-0.026475,-0.016349,0.00276127
36,0.134602,0.870400,0.108902,0.888463,-0.025699,-0.018063,0.00274665
37,0.131781,0.873271,0.110967,0.888146,-0.020813,-0.014875,0.00273165
38,0.131538,0.872246,0.110425,0.879222,-0.021114,-0.006976,0.00271626
39,0.130684,0.874648,0.121204,0.880011,-0.009480,-0.005362,0.00270051
40,0.130228,0.874085,0.107245,0.889425,-0.022983,-0.015340,0.00268439
41,0.125842,0.877425,0.103026,0.895236,-0.022816,-0.017811,0.00266790
42,0.129396,0.875192,0.104827,0.888582,-0.024570,-0.013391,0.00265107
43,0.123175,0.879870,0.118917,0.882402,-0.004258,-0.002532,0.00263388
44,0.124195,0.877563,0.105495,0.893056,-0.018700,-0.015492,0.00261636
45,0.120288,0.880945,0.108906,0.885829,-0.011382,-0.004884,0.00259850
46,0.121805,0.880932,0.098382,0.899936,-0.023423,-0.019003,0.00258032
47,0.118260,0.883301,0.097745,0.892653,-0.020514,-0.009352,0.00256181
48,0.115436,0.884901,0.095664,0.897887,-0.019773,-0.012986,0.00254299
49,0.116363,0.885259,0.102195,0.889547,-0.014168,-0.004288,0.00252387
50,0.114270,0.886006,0.103175,0.886822,-0.011095,-0.000816,0.00250444
51,0.113871,0.886573,0.122392,0.861339,0.008521,0.025234,0.00248473
52,0.111886,0.887707,0.098134,0.893983,-0.013752,-0.006276,0.00246473
53,0.109441,0.890747,0.097062,0.890288,-0.012379,0.000458,0.00244446
54,0.108981,0.890899,0.107730,0.883832,-0.001250,0.007066,0.00242392
55,0.109178,0.891345,0.091573,0.902445,-0.017604,-0.011100,0.00240312
56,0.103104,0.894648,0.094852,0.903043,-0.008252,-0.008395,0.00238207
57,0.113180,0.889247,0.087473,0.907760,-0.025707,-0.018513,0.00236078
58,0.103417,0.895378,0.091262,0.901787,-0.012155,-0.006408,0.00233925
59,0.104241,0.895574,0.090278,0.905914,-0.013964,-0.010340,0.00231749
60,0.099612,0.897963,0.100117,0.893219,0.000505,0.004744,0.00229551
61,0.103693,0.896247,0.090361,0.902411,-0.013331,-0.006165,0.00227332
62,0.103328,0.895835,0.092128,0.904142,-0.011200,-0.008307,0.00225094
63,0.106618,0.893468,0.085812,0.909186,-0.020806,-0.015717,0.00222835
64,0.094801,0.902267,0.087040,0.909066,-0.007761,-0.006799,0.00220559
65,0.096016,0.901831,0.097036,0.898394,0.001021,0.003437,0.00218265
66,0.095681,0.901635,0.095754,0.900374,0.000074,0.001261,0.00215954
67,0.095699,0.901974,0.100393,0.891765,0.004694,0.010209,0.00213627
68,0.095442,0.901625,0.087127,0.905044,-0.008315,-0.003420,0.00211286
69,0.091777,0.906289,0.087741,0.912942,-0.004036,-0.006653,0.00208930
70,0.096241,0.901951,0.095644,0.906450,-0.000597,-0.004499,0.00206561
