epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate
1,1.452441,0.638565,1.310964,0.676357,-0.141476,-0.037792,0.00100000
2,1.275471,0.710711,1.144112,0.750177,-0.131359,-0.039466,0.00100000
3,1.211936,0.738427,1.117081,0.757841,-0.094855,-0.019414,0.00100000
4,1.167554,0.756001,1.107866,0.761784,-0.059688,-0.005783,0.00100000
5,1.140374,0.767661,1.047444,0.788317,-0.092930,-0.020656,0.00100000
6,1.116258,0.776178,1.038210,0.790003,-0.078048,-0.013825,0.00100000
7,1.094464,0.784398,1.002563,0.803022,-0.091901,-0.018624,0.00100000
8,1.076804,0.791930,0.977032,0.814902,-0.099772,-0.022973,0.00100000
9,1.059042,0.798896,0.970424,0.817445,-0.088618,-0.018548,0.00100000
10,1.043827,0.805024,0.972884,0.814342,-0.070943,-0.009318,0.00100000
11,1.028606,0.811239,0.954193,0.823971,-0.074413,-0.012732,0.00100000
12,1.018954,0.815432,0.956573,0.823544,-0.062381,-0.008113,0.00100000
13,1.006394,0.820542,0.956635,0.822501,-0.049759,-0.001959,0.00050000
14,0.965783,0.837413,0.902340,0.845306,-0.063443,-0.007893,0.00050000
15,0.955392,0.841836,0.900109,0.847118,-0.055283,-0.005281,0.00050000
16,0.948377,0.845333,0.892628,0.848544,-0.055749,-0.003211,0.00050000
17,0.941664,0.847857,0.893719,0.849116,-0.047945,-0.001259,0.00050000
18,0.933837,0.850742,0.890875,0.848582,-0.042962,0.002161,0.00050000
19,0.930163,0.852440,0.884823,0.853689,-0.045340,-0.001249,0.00050000
20,0.921967,0.855593,0.893266,0.848923,-0.028700,0.006670,0.00050000
21,0.918611,0.857186,0.882246,0.854396,-0.036366,0.002791,0.00050000
22,0.913357,0.859088,0.878460,0.855184,-0.034897,0.003903,0.00050000
23,0.908347,0.861455,0.873186,0.858339,-0.035162,0.003116,0.00050000
24,0.904899,0.863084,0.868703,0.860561,-0.036195,0.002523,0.00050000
25,0.898566,0.865634,0.867035,0.860696,-0.031532,0.004938,0.00050000
26,0.894148,0.867056,0.863350,0.860603,-0.030798,0.006452,0.00050000
27,0.890429,0.869090,0.857532,0.864858,-0.032898,0.004232,0.00050000
28,0.886974,0.870187,0.863412,0.861266,-0.023562,0.008922,0.00050000
29,0.881411,0.872749,0.856452,0.866308,-0.024960,0.006441,0.00050000
30,0.879677,0.873403,0.852141,0.865889,-0.027536,0.007514,0.00050000
