epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate
1,1.518792,0.494698,1.143354,0.752121,-0.375438,-0.257423,0.00120000
2,1.099127,0.701023,0.860097,0.695045,-0.239031,0.005978,0.00210000
3,0.935370,0.698936,0.805430,0.722793,-0.129940,-0.023858,0.00300000
4,0.875739,0.720913,0.800040,0.696685,-0.075699,0.024228,0.00299829
5,0.832978,0.728457,0.712239,0.767878,-0.120739,-0.039421,0.00299315
6,0.797521,0.743582,0.657431,0.778229,-0.140090,-0.034647,0.00298461
7,0.743534,0.761599,0.697599,0.761592,-0.045936,0.000007,0.00297268
8,0.729186,0.773654,0.616026,0.769645,-0.113160,0.004009,0.00295741
9,0.719695,0.767080,0.661654,0.786172,-0.058042,-0.019092,0.00293882
10,0.696404,0.782068,0.592118,0.807464,-0.104286,-0.025395,0.00291698
11,0.668071,0.791456,0.577918,0.815772,-0.090153,-0.024316,0.00289193
12,0.645746,0.801657,0.555720,0.821053,-0.090025,-0.019396,0.00286376
13,0.617227,0.812456,0.556839,0.829150,-0.060387,-0.016694,0.00283253
14,0.607655,0.817154,0.529172,0.825301,-0.078483,-0.008147,0.00279834
15,0.581179,0.825812,0.535662,0.840802,-0.045517,-0.014990,0.00276127
16,0.559772,0.833139,0.506867,0.850123,-0.052905,-0.016984,0.00272143
17,0.534403,0.845921,0.506008,0.845699,-0.028396,0.000222,0.00267893
18,0.529861,0.851045,0.512810,0.861150,-0.017050,-0.010105,0.00263388
19,0.510017,0.855780,0.499780,0.852198,-0.010237,0.003582,0.00258641
20,0.498313,0.862805,0.476836,0.878304,-0.021477,-0.015499,0.00253665
21,0.477036,0.869539,0.477841,0.869754,0.000805,-0.000215,0.00248473
22,0.465426,0.871722,0.482954,0.853338,0.017529,0.018384,0.00243080
23,0.457357,0.878219,0.440904,0.882337,-0.016453,-0.004118,0.00237500
24,0.441026,0.883351,0.442780,0.876604,0.001754,0.006747,0.00231749
25,0.430923,0.888668,0.449618,0.886220,0.018696,0.002448,0.00225842
26,0.422572,0.890709,0.462652,0.889211,0.040079,0.001498,0.00219796
27,0.415201,0.894133,0.433096,0.891433,0.017895,0.002699,0.00213627
28,0.395536,0.900472,0.428615,0.896642,0.033079,0.003831,0.00207352
29,0.391415,0.897366,0.446584,0.885531,0.055169,0.011835,0.00200989
30,0.375655,0.906099,0.434833,0.892027,0.059178,0.014072,0.00194554
31,0.362933,0.911410,0.410485,0.902715,0.047553,0.008695,0.00188066
32,0.348607,0.917292,0.420995,0.909190,0.072388,0.008102,0.00181542
33,0.336294,0.921705,0.419917,0.903827,0.083623,0.017878,0.00175000
34,0.320562,0.924230,0.420669,0.900531,0.100108,0.023699,0.00168458
35,0.307580,0.928763,0.399545,0.913470,0.091965,0.015293,0.00161934
36,0.301991,0.930534,0.419477,0.909055,0.117486,0.021479,0.00155446
37,0.303174,0.930282,0.419205,0.908163,0.116031,0.022119,0.00149011
38,0.309654,0.928615,0.419228,0.898154,0.109574,0.030461,0.00142648
39,0.300137,0.931018,0.412665,0.910020,0.112528,0.020998,0.00136373
40,0.285550,0.935637,0.402730,0.909172,0.117180,0.026465,0.00130204
41,0.273279,0.938477,0.406862,0.911728,0.133583,0.026748,0.00124158
42,0.269307,0.939664,0.404739,0.918329,0.135432,0.021335,0.00118251
43,0.265642,0.940652,0.409871,0.917553,0.144229,0.023099,0.00112500
44,0.256303,0.943348,0.413179,0.911932,0.156876,0.031416,0.00106920
45,0.253864,0.943741,0.396300,0.919979,0.142436,0.023762,0.00101527
46,0.246669,0.945816,0.388131,0.922315,0.141462,0.023501,0.00096335
47,0.244074,0.947588,0.402626,0.918232,0.158552,0.029356,0.00091359
48,0.241036,0.947847,0.401214,0.921085,0.160177,0.026762,0.00086612
49,0.228572,0.950752,0.388458,0.924272,0.159886,0.026480,0.00082107
50,0.226245,0.951823,0.406088,0.921116,0.179843,0.030707,0.00077857
51,0.223601,0.951479,0.375552,0.926120,0.151951,0.025359,0.00073873
52,0.224537,0.952292,0.384621,0.923951,0.160084,0.028340,0.00070166
53,0.212042,0.954508,0.384394,0.927689,0.172351,0.026819,0.00066747
54,0.218168,0.953909,0.378898,0.927753,0.160730,0.026157,0.00063624
55,0.208265,0.955340,0.386272,0.928102,0.178007,0.027237,0.00060807
56,0.204320,0.956717,0.405171,0.926125,0.200851,0.030592,0.00058302
57,0.205700,0.956884,0.383049,0.928499,0.177350,0.028385,0.00056118
58,0.197367,0.958861,0.392619,0.929765,0.195252,0.029096,0.00054259
59,0.196058,0.958845,0.383212,0.930095,0.187154,0.028750,0.00052732
60,0.198759,0.958230,0.400283,0.926748,0.201524,0.031482,0.00051539
