epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate
1,1.434700,0.629739,1.366814,0.658085,-0.067886,-0.028346,0.00099975
2,1.274911,0.703082,1.304823,0.682655,0.029912,0.020427,0.00099901
3,1.210279,0.733028,1.255896,0.708824,0.045618,0.024204,0.00099778
4,1.165369,0.752293,1.239379,0.724097,0.074009,0.028196,0.00099606
5,1.132340,0.766075,1.260078,0.707346,0.127738,0.058729,0.00099385
6,1.107853,0.776511,1.231282,0.720660,0.123429,0.055851,0.00099115
7,1.086367,0.784778,1.227106,0.723902,0.140739,0.060877,0.00098797
8,1.071007,0.791032,1.270478,0.715821,0.199471,0.075211,0.00098431
9,1.054214,0.797209,1.200612,0.732109,0.146398,0.065099,0.00098017
10,1.038701,0.803554,1.255756,0.720983,0.217054,0.082571,0.00097555
11,1.031248,0.806964,1.206192,0.729777,0.174944,0.077188,0.00097047
12,1.017304,0.812233,1.193198,0.739528,0.175894,0.072705,0.00096492
13,1.007779,0.816893,1.213303,0.720710,0.205524,0.096184,0.00095892
14,0.998842,0.819872,1.210268,0.727448,0.211426,0.092424,0.00095246
15,0.991444,0.822635,1.214318,0.732240,0.222873,0.090395,0.00094556
