epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate
1,1.891856,0.486822,1.469825,0.542777,-0.422031,-0.055955,0.00100000
2,1.559705,0.573926,1.280641,0.601012,-0.279064,-0.027086,0.00100000
3,1.397318,0.607748,1.283560,0.609454,-0.113758,-0.001706,0.00100000
4,1.371688,0.601346,1.202884,0.607213,-0.168804,-0.005868,0.00100000
5,1.334115,0.609173,1.195334,0.627903,-0.138781,-0.018730,0.00100000
6,1.302300,0.624825,1.159634,0.628952,-0.142666,-0.004128,0.00100000
7,1.283643,0.630060,1.138069,0.637189,-0.145574,-0.007129,0.00100000
8,1.245586,0.630462,1.099474,0.643029,-0.146112,-0.012567,0.00100000
9,1.232992,0.641892,1.133221,0.649316,-0.099771,-0.007424,0.00100000
10,1.173106,0.654601,1.153287,0.652111,-0.019819,0.002489,0.00100000
11,1.177423,0.649501,1.036976,0.647745,-0.140447,0.001756,0.00100000
12,1.120031,0.668713,1.124340,0.637326,0.004309,0.031387,0.00100000
13,1.146057,0.667518,1.178811,0.617370,0.032754,0.050148,0.00100000
14,1.137930,0.668268,0.973275,0.691467,-0.164656,-0.023199,0.00100000
15,1.111010,0.674141,1.298396,0.527219,0.187387,0.146921,0.00100000
16,1.086181,0.677985,1.096457,0.620152,0.010276,0.057833,0.00100000
17,1.106424,0.679362,0.985694,0.699805,-0.120730,-0.020443,0.00100000
18,1.054031,0.692885,1.053876,0.669364,-0.000156,0.023521,0.00100000
19,1.055765,0.696316,1.039705,0.684689,-0.016059,0.011627,0.00050000
20,0.968821,0.715699,0.933987,0.699526,-0.034834,0.016174,0.00050000
21,0.933946,0.724303,0.919540,0.721816,-0.014405,0.002487,0.00050000
22,0.924523,0.723098,0.934481,0.692568,0.009958,0.030530,0.00050000
23,0.945433,0.729627,1.056202,0.625566,0.110769,0.104061,0.00050000
24,0.929143,0.727822,1.094554,0.602239,0.165411,0.125584,0.00050000
25,0.952357,0.724828,0.892994,0.706159,-0.059363,0.018669,0.00050000
26,0.846592,0.749408,0.890678,0.729608,0.044086,0.019801,0.00050000
27,0.884829,0.736146,0.882868,0.725436,-0.001961,0.010710,0.00050000
28,0.933297,0.729615,1.008474,0.637719,0.075177,0.091897,0.00050000
29,0.950197,0.732626,0.920463,0.696628,-0.029735,0.035997,0.00050000
30,0.909324,0.736245,0.897057,0.714900,-0.012268,0.021345,0.00050000
31,0.862193,0.742685,0.921045,0.689947,0.058851,0.052737,0.00050000
32,0.860116,0.749725,0.875602,0.735556,0.015486,0.014169,0.00050000
33,0.853564,0.745012,0.867095,0.711470,0.013532,0.033542,0.00050000
34,0.887821,0.742409,0.826418,0.735514,-0.061403,0.006895,0.00050000
35,0.870266,0.750935,0.867389,0.727643,-0.002877,0.023291,0.00050000
36,0.858151,0.756824,0.878604,0.706479,0.020453,0.050345,0.00050000
37,0.813467,0.764950,0.844762,0.736304,0.031295,0.028646,0.00050000
38,0.832271,0.757850,0.856480,0.717095,0.024209,0.040755,0.00050000
39,0.808596,0.760630,0.933157,0.707668,0.124561,0.052962,0.00025000
40,0.805107,0.762838,0.868927,0.714341,0.063819,0.048497,0.00025000
41,0.794325,0.772447,0.841425,0.730890,0.047100,0.041557,0.00025000
42,0.802426,0.770313,0.876208,0.709030,0.073782,0.061283,0.00025000
43,0.726132,0.785876,0.835106,0.728085,0.108974,0.057792,0.00025000
44,0.750429,0.780118,0.865827,0.730933,0.115397,0.049186,0.00012500
45,0.791827,0.775232,0.820547,0.736349,0.028720,0.038882,0.00012500
46,0.749418,0.775687,0.847823,0.723426,0.098405,0.052261,0.00012500
47,0.731812,0.791604,0.852529,0.723692,0.120717,0.067912,0.00012500
48,0.724499,0.789062,0.843405,0.717123,0.118907,0.071939,0.00012500
49,0.716916,0.788464,0.799523,0.747864,0.082607,0.040600,0.00012500
50,0.763754,0.780812,0.785933,0.740246,0.022179,0.040566,0.00012500
