epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate,val_miou
73,0.293095,0.919079,0.415528,0.895391,0.122433,0.023688,0.00291698,0.729361
74,0.285962,0.921321,0.389075,0.903875,0.103113,0.017446,0.00291461,0.760543
75,0.282292,0.923845,0.389912,0.908935,0.107620,0.014910,0.00291222,0.769115
76,0.302191,0.922803,0.486429,0.879331,0.184238,0.043471,0.00290980,0.711128
77,0.376439,0.894722,0.453005,0.874085,0.076566,0.020637,0.00290734,0.695381
78,0.311264,0.913443,0.384922,0.908901,0.073658,0.004542,0.00290485,0.767417
79,0.285472,0.921960,0.449054,0.914763,0.163582,0.007197,0.00290233,0.784606
80,0.268485,0.928903,0.404537,0.917091,0.136052,0.011812,0.00289978,0.787685
81,0.265407,0.927489,0.379375,0.912032,0.113968,0.015457,0.00289719,0.772286
82,0.251118,0.933676,0.397042,0.915518,0.145923,0.018158,0.00289458,0.792294
83,0.244296,0.935481,0.371561,0.916092,0.127265,0.019389,0.00289193,0.791713
84,0.264327,0.930221,0.400860,0.908661,0.136533,0.021561,0.00288925,0.764921
85,0.269914,0.928308,0.407278,0.908285,0.137364,0.020024,0.00288655,0.772821
86,0.269934,0.928076,0.411200,0.910831,0.141266,0.017246,0.00288381,0.768775
87,0.262923,0.930043,0.386010,0.910074,0.123087,0.019969,0.00288103,0.778612
88,0.264713,0.928677,0.390712,0.915313,0.125999,0.013364,0.00287823,0.791140
89,0.256274,0.931752,0.401839,0.898840,0.145565,0.032911,0.00287540,0.746770
90,0.259972,0.930210,0.382935,0.912412,0.122964,0.017798,0.00287253,0.776808
91,0.258774,0.931691,0.388980,0.915010,0.130205,0.016681,0.00286964,0.783658
92,0.247594,0.934184,0.383912,0.919900,0.136318,0.014284,0.00286671,0.798374
93,0.232176,0.939533,0.382674,0.913788,0.150498,0.025745,0.00286376,0.777114
94,0.239444,0.937749,0.406408,0.915839,0.166964,0.021910,0.00286077,0.781360
95,0.252163,0.932885,0.446875,0.910942,0.194712,0.021943,0.00285775,0.771265
96,0.259498,0.929958,0.451256,0.900735,0.191758,0.029223,0.00285471,0.741918
97,0.255738,0.931388,0.416516,0.917006,0.160777,0.014382,0.00285163,0.789771
98,0.243032,0.936478,0.415243,0.916378,0.172211,0.020101,0.00284852,0.789019
99,0.238605,0.936750,0.418464,0.916603,0.179859,0.020146,0.00284538,0.787048
100,0.240092,0.937285,0.405956,0.916977,0.165863,0.020308,0.00284222,0.789471
101,0.241208,0.936982,0.414431,0.908828,0.173224,0.028154,0.00283902,0.771494
102,0.236797,0.938819,0.392342,0.916990,0.155545,0.021829,0.00283579,0.784647
103,0.245180,0.936277,0.427500,0.913490,0.182320,0.022788,0.00283253,0.781541
104,0.252613,0.932871,0.430763,0.916644,0.178150,0.016227,0.00282924,0.789095
105,0.235684,0.937856,0.433413,0.913074,0.197728,0.024782,0.00282593,0.777023
106,0.232087,0.938407,0.381594,0.920386,0.149507,0.018022,0.00282258,0.794581
107,0.234373,0.938717,0.390271,0.920677,0.155898,0.018040,0.00281921,0.797276
108,0.231219,0.940118,0.376721,0.920391,0.145502,0.019728,0.00281580,0.797620
109,0.218256,0.944732,0.391569,0.919498,0.173313,0.025235,0.00281237,0.793371
110,0.219646,0.943285,0.418258,0.920929,0.198612,0.022356,0.00280890,0.790376
111,0.265211,0.929621,1.795587,0.710497,1.530375,0.219124,0.00280541,0.509072
112,0.251103,0.931632,0.405400,0.912031,0.154296,0.019601,0.00280189,0.777781
113,0.229199,0.940815,0.391080,0.918905,0.161881,0.021910,0.00279834,0.789033
114,0.237076,0.939142,0.441066,0.917922,0.203989,0.021220,0.00279476,0.784015
115,0.223022,0.943339,0.404482,0.918566,0.181461,0.024773,0.00279115,0.791532
116,0.250290,0.932569,0.368518,0.919306,0.118228,0.013263,0.00278752,0.799276
117,0.222071,0.942017,0.391306,0.910544,0.169235,0.031473,0.00278385,0.766304
118,0.233265,0.939058,0.428188,0.924178,0.194923,0.014880,0.00278016,0.805042
119,0.221398,0.941744,0.395885,0.921031,0.174487,0.020712,0.00277644,0.795223
120,0.223442,0.941427,0.386753,0.907840,0.163311,0.033587,0.00277269,0.771905
121,0.229134,0.941111,0.467309,0.915943,0.238175,0.025168,0.00276891,0.784668
122,0.221651,0.940090,0.376829,0.918731,0.155179,0.021358,0.00276510,0.787663
123,0.212687,0.946159,0.407102,0.923980,0.194415,0.022179,0.00276127,0.802202
124,0.217653,0.944742,0.392997,0.925710,0.175344,0.019032,0.00275741,0.811188
125,0.204072,0.947870,0.446906,0.921213,0.242835,0.026657,0.00275352,0.795255
126,0.213916,0.945225,0.397872,0.921630,0.183956,0.023595,0.00274961,0.793329
127,0.225401,0.942582,0.394922,0.916261,0.169521,0.026321,0.00274566,0.781048
128,0.220064,0.943786,0.422962,0.920737,0.202898,0.023048,0.00274169,0.797454
129,0.207716,0.945091,0.403153,0.916998,0.195437,0.028093,0.00273769,0.784843
130,0.207167,0.946283,0.440874,0.921679,0.233707,0.024604,0.00273367,0.802973
131,0.193260,0.951506,0.401551,0.926293,0.208290,0.025213,0.00272962,0.807731
132,0.197999,0.950054,0.425248,0.918898,0.227249,0.031156,0.00272554,0.796994
133,0.235212,0.938653,0.415614,0.912009,0.180403,0.026643,0.00272143,0.783435
134,0.225953,0.943425,0.406357,0.922289,0.180404,0.021136,0.00271730,0.797746
135,0.209415,0.946982,0.431991,0.919518,0.222576,0.027464,0.00271314,0.784474
136,0.217250,0.944805,0.387951,0.922912,0.170701,0.021893,0.00270896,0.803258
137,0.198342,0.949945,0.417500,0.923790,0.219158,0.026156,0.00270475,0.807303
138,0.198463,0.950031,0.385384,0.926193,0.186922,0.023839,0.00270051,0.807056
139,0.199669,0.948770,0.413619,0.925531,0.213950,0.023239,0.00269624,0.805801
140,0.192261,0.951658,0.417886,0.924138,0.225626,0.027521,0.00269195,0.807950
141,0.213167,0.944845,0.472824,0.917491,0.259657,0.027354,0.00268764,0.788585
142,0.210428,0.947071,0.439308,0.918251,0.228880,0.028820,0.00268330,0.784284
143,0.191584,0.951703,0.450727,0.919873,0.259143,0.031829,0.00267893,0.799000
144,0.193638,0.951276,0.422869,0.923326,0.229231,0.027950,0.00267454,0.801697
145,0.194902,0.950202,0.416857,0.923349,0.221955,0.026853,0.00267012,0.797650
146,0.191515,0.952009,0.438916,0.923716,0.247400,0.028292,0.00266568,0.805370
147,0.196499,0.951142,0.391495,0.925818,0.194995,0.025325,0.00266121,0.808022
148,0.201043,0.949093,0.418031,0.921719,0.216989,0.027374,0.00265672,0.799127
149,0.207068,0.947229,0.431604,0.923064,0.224536,0.024165,0.00265220,0.810534
150,0.242524,0.938678,0.438099,0.908507,0.195576,0.030172,0.00264766,0.771139
151,0.248478,0.937280,0.406703,0.905398,0.158226,0.031882,0.00264309,0.772999
152,0.212059,0.946448,0.437257,0.917966,0.225198,0.028481,0.00263850,0.786650
153,0.209499,0.947486,0.414257,0.921603,0.204758,0.025883,0.00263388,0.798825
154,0.193339,0.950436,0.391466,0.927888,0.198127,0.022548,0.00262924,0.816406
155,0.187323,0.952449,0.386701,0.928067,0.199378,0.024382,0.00262458,0.814716
156,0.179225,0.954507,0.400795,0.927549,0.221571,0.026959,0.00261989,0.813834
157,0.193456,0.950332,0.397948,0.925456,0.204492,0.024876,0.00261518,0.810817
158,0.185263,0.952406,0.408831,0.926677,0.223568,0.025729,0.00261044,0.811179
159,0.178906,0.955713,0.445155,0.927842,0.266249,0.027870,0.00260568,0.812402
160,0.178977,0.956167,0.407423,0.926693,0.228446,0.029474,0.00260090,0.812435
161,0.180552,0.955600,0.411580,0.925048,0.231028,0.030552,0.00259609,0.809548
162,0.189724,0.951645,0.419138,0.924974,0.229414,0.026671,0.00259127,0.802154
163,0.184386,0.953492,0.396165,0.925821,0.211780,0.027670,0.00258641,0.817455
164,0.181526,0.953840,0.433114,0.924538,0.251588,0.029303,0.00258154,0.805761
165,0.189402,0.953079,0.434978,0.925865,0.245575,0.027214,0.00257664,0.811897
166,0.236759,0.942406,0.426925,0.903187,0.190167,0.039219,0.00257172,0.750541
167,0.217395,0.944484,0.413048,0.919513,0.195652,0.024971,0.00256678,0.802468
168,0.188302,0.953035,0.394662,0.925788,0.206361,0.027247,0.00256181,0.813812
169,0.186858,0.953716,0.438739,0.924153,0.251881,0.029563,0.00255682,0.804266
170,0.179558,0.954393,0.403025,0.924740,0.223467,0.029653,0.00255181,0.810733
171,0.179713,0.954496,0.377247,0.930062,0.197533,0.024434,0.00254678,0.822028
172,0.178796,0.954671,0.404309,0.926504,0.225513,0.028167,0.00254173,0.813348
173,0.177777,0.954923,0.437579,0.920400,0.259802,0.034524,0.00253665,0.792599
174,0.177548,0.955066,0.425236,0.928516,0.247688,0.026550,0.00253155,0.820703
175,0.175912,0.955642,0.438751,0.925719,0.262839,0.029924,0.00252643,0.809100
176,0.179447,0.954469,0.401311,0.923939,0.221864,0.030530,0.00252129,0.795612
177,0.174731,0.955524,0.394224,0.926679,0.219493,0.028845,0.00251613,0.811693
178,0.175356,0.956623,0.397326,0.929277,0.221970,0.027346,0.00251095,0.816169
179,0.182537,0.954134,0.464553,0.914288,0.282016,0.039846,0.00250575,0.773468
180,0.183842,0.954243,0.405754,0.927998,0.221912,0.026245,0.00250053,0.813984
181,0.167089,0.957913,0.400536,0.928635,0.233448,0.029279,0.00249528,0.816860
182,0.169665,0.958233,0.471687,0.927308,0.302022,0.030925,0.00249002,0.814598
183,0.172247,0.956853,0.419959,0.929315,0.247712,0.027537,0.00248473,0.817285
184,0.170757,0.956120,0.427416,0.926060,0.256659,0.030060,0.00247943,0.807602
185,0.172336,0.956017,0.420874,0.925333,0.248538,0.030684,0.00247410,0.813662
186,0.170138,0.957619,0.434449,0.930968,0.264311,0.026651,0.00246876,0.822586
187,0.163182,0.958845,0.435542,0.927712,0.272360,0.031133,0.00246339,0.811939
188,0.166212,0.958127,0.427431,0.930546,0.261219,0.027581,0.00245801,0.819991
189,0.166328,0.957778,0.398220,0.929127,0.231892,0.028650,0.00245260,0.821709
190,0.174256,0.956328,0.425140,0.928394,0.250884,0.027934,0.00244718,0.817632
191,0.164093,0.959519,0.418612,0.930936,0.254519,0.028583,0.00244174,0.818495
192,0.163070,0.959116,0.417845,0.932412,0.254775,0.026704,0.00243628,0.824559
193,0.164820,0.959358,0.414444,0.929430,0.249623,0.029927,0.00243080,0.823387
194,0.168564,0.958693,0.453750,0.931656,0.285187,0.027037,0.00242530,0.824531
195,0.166473,0.958510,0.415881,0.927965,0.249408,0.030545,0.00241978,0.818211
196,0.173739,0.956935,0.426287,0.927794,0.252549,0.029141,0.00241425,0.812902
197,0.200174,0.948215,0.418992,0.918926,0.218818,0.029288,0.00240869,0.793366
198,0.188980,0.952745,0.405771,0.920334,0.216791,0.032410,0.00240312,0.794823
199,0.181261,0.956962,0.440433,0.921752,0.259171,0.035210,0.00239753,0.793109
200,0.228873,0.938652,0.454205,0.917362,0.225333,0.021290,0.00239193,0.789149
201,0.192689,0.950438,0.391743,0.927230,0.199054,0.023208,0.00238630,0.806954
202,0.171073,0.957032,0.407889,0.929768,0.236816,0.027264,0.00238066,0.817074
203,0.163893,0.959668,0.413377,0.929717,0.249484,0.029951,0.00237500,0.811419
204,0.164019,0.959225,0.423470,0.931082,0.259451,0.028142,0.00236932,0.823225
205,0.162061,0.959640,0.406106,0.931691,0.244045,0.027949,0.00236363,0.826296
206,0.160111,0.961647,0.438245,0.929738,0.278135,0.031909,0.00235792,0.823065
207,0.168838,0.957780,0.429267,0.928788,0.260429,0.028992,0.00235219,0.817493
208,0.170206,0.957700,0.419175,0.932341,0.248969,0.025359,0.00234645,0.833022
209,0.162707,0.959899,0.431148,0.927349,0.268441,0.032550,0.00234069,0.817604
210,0.157582,0.961510,0.417098,0.931193,0.259516,0.030317,0.00233491,0.826783
211,0.152883,0.961601,0.431737,0.929799,0.278853,0.031802,0.00232912,0.824889
212,0.154861,0.962177,0.424689,0.929538,0.269828,0.032639,0.00232331,0.827059
213,0.185613,0.955165,0.440349,0.927798,0.254736,0.027368,0.00231749,0.815102
214,0.164058,0.959425,0.417001,0.929347,0.252942,0.030078,0.00231165,0.816988
215,0.187205,0.952690,0.439140,0.924746,0.251935,0.027944,0.00230579,0.803890
216,0.171919,0.956981,0.442827,0.927326,0.270908,0.029655,0.00229992,0.808155
217,0.156471,0.960112,0.470517,0.920854,0.314047,0.039258,0.00229404,0.797728
218,0.153583,0.961886,0.419872,0.929136,0.266289,0.032750,0.00228814,0.817760
219,0.154654,0.961217,0.441946,0.929420,0.287291,0.031797,0.00228222,0.822068
220,0.153583,0.962397,0.458062,0.931180,0.304479,0.031217,0.00227629,0.825567
221,0.148368,0.962624,0.424581,0.932391,0.276212,0.030233,0.00227035,0.829381
222,0.151481,0.962005,0.449722,0.928586,0.298241,0.033419,0.00226439,0.817892
223,0.151771,0.961786,0.442152,0.928464,0.290381,0.033322,0.00225842,0.813964
224,0.148039,0.963737,0.457882,0.931876,0.309843,0.031861,0.00225243,0.826007
225,0.147204,0.963686,0.439219,0.934938,0.292014,0.028749,0.00224643,0.834782
226,0.157085,0.962020,0.430939,0.930193,0.273854,0.031827,0.00224042,0.823942
227,0.153080,0.961960,0.423898,0.931425,0.270817,0.030535,0.00223439,0.826960
228,0.151147,0.963185,0.448423,0.932482,0.297276,0.030703,0.00222835,0.821393
229,0.152865,0.962772,0.435523,0.932907,0.282658,0.029865,0.00222230,0.828502
230,0.144669,0.964840,0.452589,0.930535,0.307920,0.034305,0.00221623,0.821703
231,0.145435,0.964401,0.472752,0.931097,0.327317,0.033304,0.00221016,0.826773
232,0.142917,0.964250,0.447279,0.934905,0.304361,0.029346,0.00220406,0.835825
233,0.158317,0.959915,0.435285,0.930925,0.276968,0.028990,0.00219796,0.825174
234,0.152450,0.962311,0.431779,0.932828,0.279328,0.029483,0.00219184,0.828922
235,0.147674,0.963912,0.443248,0.932329,0.295574,0.031583,0.00218572,0.829499
236,0.145013,0.964740,0.433291,0.930487,0.288279,0.034254,0.00217957,0.821467
237,0.143746,0.963980,0.426449,0.933384,0.282703,0.030596,0.00217342,0.830509
238,0.148735,0.962334,0.458543,0.931916,0.309808,0.030419,0.00216726,0.829502
239,0.137977,0.965470,0.450952,0.932523,0.312975,0.032947,0.00216108,0.825403
240,0.144392,0.964404,0.454113,0.931316,0.309722,0.033088,0.00215490,0.826630
241,0.155883,0.963695,0.478807,0.928052,0.322923,0.035643,0.00214870,0.822410
242,0.235037,0.939765,0.567151,0.916202,0.332114,0.023562,0.00214249,0.781750
243,0.207046,0.947426,0.428971,0.922902,0.221925,0.024524,0.00213627,0.797928
244,0.167903,0.958040,0.418274,0.930595,0.250371,0.027445,0.00213004,0.816035
245,0.167961,0.958863,0.469843,0.928579,0.301882,0.030284,0.00212380,0.806240
246,0.159997,0.961294,0.432852,0.932331,0.272855,0.028963,0.00211755,0.825690
247,0.153446,0.962042,0.451486,0.934069,0.298040,0.027973,0.00211129,0.828694
248,0.154006,0.962062,0.415584,0.927767,0.261578,0.034295,0.00210502,0.812272
249,0.181607,0.956084,0.434714,0.927956,0.253108,0.028127,0.00209874,0.812394
250,0.162372,0.959892,0.456895,0.930667,0.294523,0.029224,0.00209245,0.822226
251,0.149181,0.964159,0.421967,0.931707,0.272786,0.032452,0.00208615,0.821243
252,0.147059,0.963661,0.437304,0.933199,0.290245,0.030461,0.00207984,0.828088
253,0.138012,0.966296,0.416450,0.933903,0.278438,0.032393,0.00207352,0.833515
254,0.137978,0.966496,0.445010,0.932983,0.307032,0.033513,0.00206720,0.831130
255,0.142281,0.965239,0.442142,0.933481,0.299860,0.031758,0.00206086,0.830186
256,0.142360,0.964493,0.456587,0.931287,0.314227,0.033206,0.00205452,0.829835
257,0.135600,0.966483,0.460756,0.933643,0.325156,0.032840,0.00204817,0.834171
258,0.137077,0.965750,0.449549,0.933655,0.312472,0.032095,0.00204181,0.832712
259,0.141815,0.964520,0.460550,0.934455,0.318734,0.030064,0.00203544,0.833249
260,0.137200,0.966070,0.479442,0.931687,0.342241,0.034383,0.00202906,0.825918
261,0.138498,0.965923,0.467104,0.934454,0.328606,0.031468,0.00202268,0.830648
262,0.131279,0.967995,0.476406,0.934257,0.345127,0.033738,0.00201629,0.830240
263,0.135856,0.966567,0.467472,0.932636,0.331615,0.033931,0.00200989,0.828233
264,0.132402,0.967690,0.477463,0.934489,0.345061,0.033201,0.00200348,0.831766
265,0.130514,0.968315,0.447642,0.935099,0.317129,0.033216,0.00199707,0.834742
266,0.145174,0.964020,0.443481,0.929638,0.298307,0.034382,0.00199065,0.808927
267,0.139695,0.965185,0.439636,0.934306,0.299941,0.030879,0.00198423,0.830141
268,0.138084,0.966741,0.432695,0.934659,0.294611,0.032082,0.00197779,0.834880
269,0.134173,0.967847,0.431733,0.932801,0.297560,0.035045,0.00197136,0.824463
270,0.137079,0.966714,0.448816,0.932496,0.311737,0.034217,0.00196491,0.828012
271,0.130411,0.967511,0.459811,0.933628,0.329399,0.033883,0.00195846,0.833748
272,0.133047,0.967320,0.449503,0.934718,0.316456,0.032602,0.00195200,0.833940
273,0.132809,0.967583,0.460163,0.933991,0.327354,0.033593,0.00194554,0.835674
274,0.125402,0.968978,0.479983,0.931824,0.354581,0.037154,0.00193908,0.830595
275,0.133437,0.967669,0.507487,0.933235,0.374049,0.034433,0.00193260,0.828240
276,0.131947,0.967528,0.494050,0.933976,0.362102,0.033552,0.00192613,0.831298
277,0.134794,0.967749,0.481442,0.928704,0.346648,0.039045,0.00191964,0.824844
278,0.134756,0.966960,0.486063,0.933685,0.351307,0.033275,0.00191316,0.827326
279,0.133889,0.966641,0.449521,0.934254,0.315632,0.032387,0.00190667,0.834022
280,0.129883,0.968323,0.478807,0.935047,0.348924,0.033275,0.00190017,0.834564
281,0.154876,0.960834,0.496077,0.920699,0.341202,0.040135,0.00189367,0.788960
282,0.168215,0.959192,0.506685,0.922688,0.338470,0.036504,0.00188717,0.806963
283,0.147088,0.963089,0.467555,0.931870,0.320467,0.031219,0.00188066,0.825821
284,0.137295,0.966815,0.463242,0.931359,0.325947,0.035455,0.00187415,0.827832
285,0.181430,0.956417,0.451616,0.925463,0.270186,0.030954,0.00186764,0.799611
286,0.146395,0.963157,0.452859,0.932942,0.306464,0.030215,0.00186112,0.830730
287,0.133473,0.967628,0.467343,0.932615,0.333870,0.035013,0.00185460,0.826829
288,0.137774,0.965584,0.486761,0.932897,0.348987,0.032687,0.00184807,0.829731
289,0.129956,0.968212,0.461054,0.934084,0.331097,0.034129,0.00184155,0.835201
290,0.128646,0.968104,0.502721,0.932481,0.374075,0.035623,0.00183502,0.831188
291,0.148493,0.964250,0.413221,0.932619,0.264728,0.031631,0.00182849,0.828159
292,0.135440,0.966819,0.519653,0.931234,0.384212,0.035585,0.00182196,0.819007
293,0.134989,0.966534,0.460667,0.935460,0.325678,0.031074,0.00181542,0.839643
294,0.128137,0.968330,0.468833,0.934745,0.340696,0.033585,0.00180888,0.836854
295,0.130067,0.968130,0.462268,0.935557,0.332200,0.032573,0.00180234,0.838292
296,0.128117,0.968351,0.445455,0.935427,0.317338,0.032924,0.00179580,0.836613
297,0.125930,0.969175,0.454254,0.936766,0.328325,0.032408,0.00178926,0.840213
298,0.124231,0.969381,0.459738,0.935187,0.335507,0.034194,0.00178272,0.834764
299,0.126024,0.969052,0.452483,0.937389,0.326459,0.031663,0.00177618,0.843702
300,0.119652,0.970643,0.475131,0.935769,0.355479,0.034874,0.00176963,0.839378
301,0.119982,0.970463,0.448733,0.936770,0.328751,0.033693,0.00176309,0.842173
302,0.126754,0.968804,0.452473,0.934674,0.325719,0.034129,0.00175654,0.834486
303,0.127534,0.968361,0.478463,0.935905,0.350929,0.032456,0.00175000,0.839655
304,0.137498,0.966732,0.483364,0.933906,0.345867,0.032826,0.00174346,0.834589
305,0.150843,0.963211,0.454077,0.930266,0.303234,0.032946,0.00173691,0.826613
306,0.130087,0.968324,0.466291,0.934511,0.336205,0.033813,0.00173037,0.836114
307,0.125808,0.969579,0.480555,0.934264,0.354748,0.035315,0.00172382,0.833185
308,0.126230,0.969497,0.494249,0.932311,0.368018,0.037186,0.00171728,0.828913
309,0.136570,0.966888,0.460731,0.932357,0.324161,0.034531,0.00171074,0.829304
310,0.127277,0.968789,0.456555,0.935290,0.329278,0.033498,0.00170420,0.836098
311,0.123942,0.969627,0.481403,0.934939,0.357460,0.034688,0.00169766,0.833646
312,0.121342,0.970155,0.477394,0.935074,0.356053,0.035082,0.00169112,0.835130
313,0.120826,0.970409,0.473769,0.932941,0.352943,0.037468,0.00168458,0.830149
314,0.121631,0.969856,0.453010,0.934408,0.331379,0.035448,0.00167804,0.834535
315,0.122671,0.969850,0.477364,0.934559,0.354693,0.035291,0.00167151,0.834145
316,0.119534,0.970713,0.500648,0.933422,0.381114,0.037291,0.00166498,0.832430
317,0.119443,0.970665,0.493833,0.932917,0.374391,0.037748,0.00165845,0.829760
318,0.124873,0.969326,0.484033,0.933031,0.359161,0.036296,0.00165193,0.826920
319,0.116616,0.971830,0.461221,0.933836,0.344605,0.037994,0.00164540,0.831534
320,0.116696,0.970877,0.467126,0.934994,0.350430,0.035883,0.00163888,0.833642
321,0.116933,0.971520,0.518816,0.933834,0.401882,0.037685,0.00163236,0.830714
322,0.120791,0.970281,0.506268,0.934546,0.385478,0.035736,0.00162585,0.833244
