epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate
1,1.824156,0.519038,1.364357,0.569694,-0.459799,-0.050656,0.00100000
2,1.515427,0.583393,1.292463,0.566741,-0.222964,0.016652,0.00100000
3,1.441487,0.595169,1.303402,0.568750,-0.138085,0.026419,0.00100000
4,1.393921,0.601373,1.228647,0.624483,-0.165274,-0.023110,0.00100000
5,1.306017,0.619905,1.144761,0.633739,-0.161256,-0.013834,0.00100000
6,1.285404,0.627519,1.164575,0.629075,-0.120829,-0.001556,0.00100000
7,1.258165,0.631816,1.120786,0.617506,-0.137379,0.014309,0.00100000
8,1.165904,0.657200,1.164848,0.674524,-0.001056,-0.017324,0.00100000
9,1.172198,0.651901,1.052921,0.690693,-0.119277,-0.038791,0.00100000
10,1.174418,0.653003,1.022524,0.668334,-0.151894,-0.015331,0.00100000
11,1.167242,0.663019,1.062482,0.683055,-0.104760,-0.020036,0.00100000
12,1.130128,0.674232,1.016491,0.666772,-0.113637,0.007460,0.00100000
13,1.160959,0.660646,0.961672,0.682147,-0.199287,-0.021502,0.00100000
14,1.128407,0.673937,1.061119,0.667400,-0.067288,0.006537,0.00100000
15,1.095919,0.678598,0.941691,0.725535,-0.154228,-0.046938,0.00100000
16,1.074319,0.678478,0.985569,0.684942,-0.088750,-0.006464,0.00100000
17,0.994108,0.707038,1.007492,0.693498,0.013384,0.013539,0.00100000
18,0.965109,0.716138,0.960005,0.716438,-0.005104,-0.000300,0.00100000
19,1.001063,0.702574,0.951106,0.719425,-0.049957,-0.016851,0.00100000
20,1.039955,0.702901,0.962290,0.695302,-0.077665,0.007599,0.00050000
21,0.965672,0.713631,0.896663,0.711386,-0.069009,0.002245,0.00050000
22,0.898607,0.731626,0.882450,0.721793,-0.016157,0.009832,0.00050000
23,0.885301,0.734217,0.900468,0.718480,0.015168,0.015738,0.00050000
24,0.889690,0.739568,0.851219,0.725995,-0.038470,0.013572,0.00050000
25,0.919377,0.729777,0.886012,0.729877,-0.033365,-0.000100,0.00050000
26,0.891877,0.740448,0.904174,0.732266,0.012297,0.008182,0.00050000
27,0.845042,0.749407,0.871235,0.724106,0.026193,0.025301,0.00050000
28,0.879198,0.736705,0.907725,0.698073,0.028526,0.038632,0.00050000
29,0.874649,0.740961,0.886926,0.707152,0.012277,0.033809,0.00025000
30,0.900267,0.742339,0.857959,0.713629,-0.042308,0.028710,0.00025000
