epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate
1,1.447906,0.635042,1.337748,0.676633,-0.110158,-0.041591,0.00099975
2,1.282961,0.704262,1.248296,0.695469,-0.034665,0.008793,0.00099901
3,1.220339,0.731587,1.202477,0.713353,-0.017862,0.018234,0.00099778
4,1.181547,0.747055,1.162705,0.741430,-0.018842,0.005625,0.00099606
5,1.152322,0.759505,1.111147,0.761300,-0.041175,-0.001795,0.00099385
6,1.128545,0.768555,1.108919,0.757924,-0.019626,0.010630,0.00099115
7,1.104663,0.778124,1.104345,0.758102,-0.000318,0.020022,0.00098797
8,1.090496,0.784311,1.076814,0.772193,-0.013682,0.012118,0.00098431
9,1.074466,0.790813,1.104368,0.752358,0.029902,0.038455,0.00098017
10,1.061477,0.796451,1.047629,0.786114,-0.013848,0.010338,0.00097555
11,1.049930,0.801653,1.054640,0.778993,0.004710,0.022661,0.00097047
12,1.036204,0.806661,1.038940,0.789470,0.002736,0.017191,0.00096492
13,1.025792,0.810902,1.028789,0.793983,0.002997,0.016918,0.00095892
14,1.016282,0.815169,1.001743,0.802726,-0.014539,0.012443,0.00095246
15,1.006713,0.819278,1.037362,0.789780,0.030649,0.029498,0.00094556
16,0.997722,0.822739,1.011984,0.797282,0.014262,0.025457,0.00093822
17,0.992880,0.825176,0.988686,0.809372,-0.004194,0.015804,0.00093044
18,0.981241,0.829916,1.000775,0.803883,0.019535,0.026032,0.00092224
19,0.974812,0.832449,0.990677,0.808992,0.015865,0.023456,0.00091363
20,0.969796,0.834424,0.976604,0.813572,0.006808,0.020852,0.00090460
21,0.960142,0.838996,0.973983,0.815326,0.013840,0.023670,0.00089518
22,0.954707,0.841058,0.980685,0.811104,0.025979,0.029954,0.00088537
23,0.945409,0.844747,0.963224,0.820171,0.017815,0.024576,0.00087518
24,0.942419,0.846721,0.962847,0.821203,0.020428,0.025518,0.00086462
25,0.936428,0.848849,0.957963,0.821462,0.021535,0.027387,0.00085370
26,0.930918,0.850972,0.951089,0.825768,0.020171,0.025204,0.00084243
27,0.922204,0.854839,0.952952,0.824184,0.030747,0.030655,0.00083083
28,0.918534,0.856072,0.943435,0.828279,0.024901,0.027793,0.00081889
29,0.913021,0.858487,0.949573,0.825319,0.036552,0.033168,0.00080665
30,0.907892,0.860768,0.938597,0.830478,0.030705,0.030290,0.00079410
31,0.932350,0.850971,0.913171,0.841040,-0.019179,0.009931,0.00078126
32,0.924264,0.853722,0.915071,0.839163,-0.009193,0.014559,0.00076815
33,0.917716,0.856300,0.904553,0.843999,-0.013163,0.012301,0.00075477
34,0.914801,0.857918,0.902700,0.845617,-0.012101,0.012301,0.00074114
35,0.907995,0.860352,0.906120,0.845033,-0.001875,0.015319,0.00072727
36,0.903317,0.862793,0.896691,0.847173,-0.006626,0.015620,0.00071318
37,0.901680,0.863306,0.888081,0.851337,-0.013599,0.011968,0.00069888
38,0.896222,0.865482,0.896201,0.847621,-0.000021,0.017861,0.00068438
39,0.890470,0.867819,0.880309,0.854219,-0.010160,0.013600,0.00066970
40,0.886893,0.869670,0.875146,0.857175,-0.011747,0.012495,0.00065485
41,0.884972,0.870281,0.880909,0.854249,-0.004063,0.016032,0.00063986
42,0.879312,0.872313,0.881158,0.854494,0.001846,0.017819,0.00062472
43,0.875664,0.874020,0.871766,0.859342,-0.003898,0.014678,0.00060946
44,0.873401,0.875377,0.871727,0.858327,-0.001674,0.017049,0.00059410
45,0.867461,0.877834,0.864769,0.860475,-0.002691,0.017359,0.00057864
46,0.864725,0.879107,0.864272,0.861675,-0.000453,0.017431,0.00056310
47,0.863007,0.879605,0.865416,0.862417,0.002409,0.017188,0.00054751
48,0.856651,0.882433,0.859481,0.864497,0.002830,0.017936,0.00053186
49,0.853599,0.883457,0.859483,0.863787,0.005884,0.019671,0.00051619
50,0.850563,0.884537,0.858712,0.864161,0.008149,0.020376,0.00050050
51,0.846843,0.886352,0.852961,0.866407,0.006119,0.019945,0.00048481
52,0.844762,0.887076,0.860596,0.863883,0.015833,0.023193,0.00046914
53,0.842446,0.888029,0.851567,0.867652,0.009121,0.020377,0.00045349
54,0.838863,0.889860,0.855245,0.866351,0.016382,0.023509,0.00043790
55,0.833715,0.891742,0.849834,0.868295,0.016120,0.023447,0.00042236
56,0.833343,0.892091,0.846364,0.869705,0.013021,0.022386,0.00040690
57,0.829572,0.893719,0.846798,0.870160,0.017225,0.023559,0.00039154
58,0.826598,0.894911,0.845053,0.870268,0.018456,0.024643,0.00037628
59,0.825294,0.895678,0.842652,0.871795,0.017358,0.023883,0.00036114
60,0.821455,0.897214,0.840317,0.873105,0.018862,0.024109,0.00034615
61,0.820396,0.897710,0.842987,0.871226,0.022591,0.026484,0.00033130
62,0.816984,0.898962,0.835186,0.874356,0.018203,0.024606,0.00031662
63,0.813100,0.900465,0.839681,0.874142,0.026582,0.026323,0.00030212
64,0.812338,0.901262,0.836455,0.873996,0.024117,0.027265,0.00028782
