epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate
1,1.486897,0.623020,1.335658,0.643642,-0.151239,-0.020623,0.00034000
2,1.340313,0.680443,1.318336,0.636779,-0.021977,0.043665,0.00067000
3,1.287080,0.705283,1.107163,0.764256,-0.179917,-0.058973,0.00100000
4,1.222066,0.735423,1.110721,0.760870,-0.111345,-0.025447,0.00099385
5,1.176491,0.755660,1.052568,0.784312,-0.123922,-0.028651,0.00097555
6,1.144354,0.769549,1.017906,0.800477,-0.126447,-0.030927,0.00094556
7,1.114619,0.782135,1.022824,0.796335,-0.091794,-0.014200,0.00090460
8,1.089449,0.791354,1.021190,0.798020,-0.068259,-0.006665,0.00085370
9,1.068711,0.800442,0.978570,0.815975,-0.090141,-0.015534,0.00079410
10,1.046025,0.809519,0.952476,0.826663,-0.093549,-0.017144,0.00072727
11,1.026362,0.817265,0.937303,0.834589,-0.089059,-0.017324,0.00065485
12,1.007771,0.825597,0.937791,0.831896,-0.069980,-0.006299,0.00057864
13,0.989802,0.833291,0.940735,0.830302,-0.049067,0.002988,0.00050050
14,0.971777,0.840603,0.892624,0.850397,-0.079153,-0.009794,0.00042236
15,0.951258,0.849379,0.883148,0.855483,-0.068111,-0.006105,0.00034615
16,0.935505,0.855929,0.871853,0.858654,-0.063651,-0.002725,0.00027373
17,0.919481,0.862880,0.864108,0.863259,-0.055374,-0.000378,0.00020690
18,0.905406,0.868950,0.857908,0.866567,-0.047498,0.002382,0.00014730
19,0.889937,0.875247,0.844819,0.871114,-0.045119,0.004134,0.00009640
20,0.882353,0.879062,0.846568,0.871939,-0.035785,0.007123,0.00005544
