epoch,train_loss,train_acc,val_loss,val_acc,loss_diff,acc_diff,learning_rate
1,0.731251,0.479090,0.449977,0.748992,-0.281274,-0.269901,0.00120000
2,0.438380,0.684738,0.292330,0.706529,-0.146050,-0.021791,0.00210000
3,0.336692,0.679824,0.235409,0.701715,-0.101283,-0.021891,0.00300000
4,0.287153,0.690037,0.248014,0.653885,-0.039139,0.036152,0.00299829
5,0.264762,0.699278,0.188778,0.739899,-0.075984,-0.040621,0.00299315
6,0.239310,0.722216,0.167262,0.740397,-0.072047,-0.018181,0.00298461
7,0.210715,0.736594,0.175198,0.748226,-0.035517,-0.011631,0.00297268
8,0.198115,0.742846,0.153714,0.750098,-0.044401,-0.007252,0.00295741
9,0.188247,0.756029,0.147934,0.767584,-0.040313,-0.011555,0.00293882
10,0.185402,0.756521,0.145281,0.758231,-0.040121,-0.001711,0.00291698
11,0.163548,0.766449,0.142385,0.766076,-0.021162,0.000373,0.00289193
12,0.162177,0.780096,0.132301,0.779143,-0.029876,0.000954,0.00286376
13,0.156386,0.776155,0.176394,0.784786,0.020008,-0.008631,0.00283253
14,0.150464,0.784127,0.128853,0.788022,-0.021611,-0.003895,0.00279834
15,0.136529,0.783107,0.120970,0.810640,-0.015559,-0.027532,0.00276127
16,0.125364,0.803303,0.127724,0.784941,0.002360,0.018362,0.00272143
17,0.127478,0.793254,0.125872,0.795883,-0.001606,-0.002629,0.00267893
18,0.123082,0.794571,0.109706,0.823929,-0.013377,-0.029359,0.00263388
19,0.120739,0.804765,0.117216,0.826299,-0.003523,-0.021535,0.00258641
20,0.116585,0.804223,0.108858,0.803269,-0.007727,0.000954,0.00253665
21,0.109167,0.815215,0.120080,0.789135,0.010913,0.026079,0.00248473
22,0.101641,0.813969,0.101015,0.834746,-0.000625,-0.020778,0.00243080
23,0.112108,0.826581,0.102767,0.841416,-0.009341,-0.014835,0.00237500
24,0.101483,0.830007,0.098956,0.844664,-0.002527,-0.014657,0.00231749
25,0.094943,0.831359,0.103294,0.839170,0.008351,-0.007811,0.00225842
26,0.093965,0.833225,0.093182,0.849238,-0.000783,-0.016013,0.00219796
27,0.089169,0.837261,0.092257,0.850040,0.003087,-0.012780,0.00213627
28,0.084483,0.842443,0.097645,0.851460,0.013162,-0.009017,0.00207352
29,0.080692,0.851245,0.090891,0.869672,0.010199,-0.018427,0.00200989
30,0.074394,0.858078,0.095865,0.845945,0.021471,0.012133,0.00194554
31,0.068205,0.859633,0.086267,0.863388,0.018062,-0.003756,0.00188066
32,0.066721,0.866908,0.093372,0.861576,0.026650,0.005332,0.00181542
33,0.063992,0.868576,0.087078,0.869145,0.023086,-0.000570,0.00175000
34,0.062310,0.872955,0.084833,0.863267,0.022523,0.009687,0.00168458
35,0.060256,0.875416,0.085078,0.866008,0.024822,0.009408,0.00161934
36,0.062096,0.875331,0.086159,0.867575,0.024063,0.007756,0.00155446
37,0.062189,0.880135,0.079525,0.870034,0.017337,0.010101,0.00149011
38,0.065540,0.882813,0.092281,0.872591,0.026741,0.010221,0.00142648
39,0.071957,0.879205,0.089606,0.867846,0.017649,0.011359,0.00136373
40,0.058587,0.875548,0.090172,0.861552,0.031585,0.013996,0.00130204
41,0.063615,0.880449,0.083719,0.876903,0.020103,0.003546,0.00124158
42,0.053147,0.885748,0.091287,0.892211,0.038140,-0.006463,0.00118251
43,0.056238,0.887191,0.085715,0.869726,0.029477,0.017465,0.00112500
44,0.047905,0.893493,0.082513,0.878892,0.034608,0.014602,0.00106920
45,0.073857,0.889794,0.086510,0.876458,0.012653,0.013336,0.00101527
46,0.048340,0.894509,0.087215,0.878451,0.038875,0.016058,0.00096335
47,0.062091,0.896858,0.085974,0.888333,0.023883,0.008525,0.00091359
48,0.042456,0.903356,0.088534,0.894296,0.046078,0.009060,0.00086612
49,0.043666,0.906543,0.082236,0.889362,0.038570,0.017181,0.00082107
50,0.039971,0.904632,0.081198,0.896115,0.041227,0.008517,0.00077857
51,0.048260,0.907225,0.090160,0.893956,0.041900,0.013269,0.00073873
52,0.038663,0.907781,0.083926,0.896266,0.045263,0.011515,0.00070166
53,0.040580,0.906129,0.085490,0.894364,0.044910,0.011765,0.00066747
54,0.048174,0.911916,0.083741,0.892576,0.035567,0.019340,0.00063624
55,0.036707,0.911535,0.083110,0.899185,0.046403,0.012350,0.00060807
56,0.039432,0.913103,0.082553,0.900969,0.043121,0.012134,0.00058302
57,0.035912,0.915294,0.084707,0.894277,0.048795,0.021017,0.00056118
58,0.039614,0.915653,0.085758,0.902852,0.046145,0.012801,0.00054259
59,0.041640,0.916504,0.095743,0.896691,0.054103,0.019813,0.00052732
60,0.034785,0.918763,0.084136,0.906098,0.049350,0.012665,0.00051539
